Expected Output    Received Output   Remarks
============================================
00    00   Success
00    00   Success
00    00   Success
00    00   Success
00    00   Success
00    00   Success
00    00   Success
00    00   Success
00    00   Success
00    00   Success
00    00   Success
00    00   Success
00    00   Success
00    00   Success
00    00   Success
00    00   Success
00    00   Success
01    00   Failure
02    00   Failure
03    00   Failure
04    00   Failure
05    00   Failure
06    00   Failure
07    00   Failure
08    00   Failure
09    00   Failure
0A    00   Failure
0B    00   Failure
0C    00   Failure
0D    00   Failure
0E    00   Failure
0F    00   Failure
00    00   Success
02    00   Failure
04    00   Failure
06    00   Failure
08    00   Failure
0A    00   Failure
0C    00   Failure
0E    00   Failure
10    00   Failure
12    00   Failure
14    00   Failure
16    00   Failure
18    00   Failure
1A    00   Failure
1C    00   Failure
1E    00   Failure
00    00   Success
03    00   Failure
06    00   Failure
09    00   Failure
0C    00   Failure
0F    00   Failure
12    00   Failure
15    00   Failure
18    00   Failure
1B    00   Failure
1E    00   Failure
21    00   Failure
24    00   Failure
27    00   Failure
2A    00   Failure
2D    00   Failure
00    00   Success
04    00   Failure
08    00   Failure
0C    00   Failure
10    00   Failure
14    00   Failure
18    00   Failure
1C    00   Failure
20    00   Failure
24    00   Failure
28    00   Failure
2C    00   Failure
30    00   Failure
34    00   Failure
38    00   Failure
3C    00   Failure
00    00   Success
05    00   Failure
0A    00   Failure
0F    00   Failure
14    00   Failure
19    00   Failure
1E    00   Failure
23    00   Failure
28    00   Failure
2D    00   Failure
32    00   Failure
37    00   Failure
3C    00   Failure
41    00   Failure
46    00   Failure
4B    00   Failure
00    00   Success
06    00   Failure
0C    00   Failure
12    00   Failure
18    00   Failure
1E    00   Failure
24    00   Failure
2A    00   Failure
30    00   Failure
36    00   Failure
3C    00   Failure
42    00   Failure
48    00   Failure
4E    00   Failure
54    00   Failure
5A    00   Failure
00    00   Success
07    00   Failure
0E    00   Failure
15    00   Failure
1C    00   Failure
23    00   Failure
2A    00   Failure
31    00   Failure
38    00   Failure
3F    00   Failure
46    00   Failure
4D    00   Failure
54    00   Failure
5B    00   Failure
62    00   Failure
69    00   Failure
00    00   Success
08    00   Failure
10    00   Failure
18    00   Failure
20    00   Failure
28    00   Failure
30    00   Failure
38    00   Failure
40    00   Failure
48    00   Failure
50    00   Failure
58    00   Failure
60    00   Failure
68    00   Failure
70    00   Failure
78    00   Failure
00    00   Success
09    00   Failure
12    00   Failure
1B    00   Failure
24    00   Failure
2D    00   Failure
36    00   Failure
3F    00   Failure
48    00   Failure
51    00   Failure
5A    00   Failure
63    00   Failure
6C    00   Failure
75    00   Failure
7E    00   Failure
87    00   Failure
00    00   Success
0A    00   Failure
14    00   Failure
1E    00   Failure
28    00   Failure
32    00   Failure
3C    00   Failure
46    00   Failure
50    00   Failure
5A    00   Failure
64    00   Failure
6E    00   Failure
78    00   Failure
82    00   Failure
8C    00   Failure
96    00   Failure
00    00   Success
0B    00   Failure
16    00   Failure
21    00   Failure
2C    00   Failure
37    00   Failure
42    00   Failure
4D    00   Failure
58    00   Failure
63    00   Failure
6E    00   Failure
79    00   Failure
84    00   Failure
8F    00   Failure
9A    00   Failure
A5    00   Failure
00    00   Success
0C    00   Failure
18    00   Failure
24    00   Failure
30    00   Failure
3C    00   Failure
48    00   Failure
54    00   Failure
60    00   Failure
6C    00   Failure
78    00   Failure
84    00   Failure
90    00   Failure
9C    00   Failure
A8    00   Failure
B4    00   Failure
00    00   Success
0D    00   Failure
1A    00   Failure
27    00   Failure
34    00   Failure
41    00   Failure
4E    00   Failure
5B    00   Failure
68    00   Failure
75    00   Failure
82    00   Failure
8F    00   Failure
9C    00   Failure
A9    00   Failure
B6    00   Failure
C3    00   Failure
00    00   Success
0E    00   Failure
1C    00   Failure
2A    00   Failure
38    00   Failure
46    00   Failure
54    00   Failure
62    00   Failure
70    00   Failure
7E    00   Failure
8C    00   Failure
9A    00   Failure
A8    00   Failure
B6    00   Failure
C4    00   Failure
D2    00   Failure
00    00   Success
0F    00   Failure
1E    00   Failure
2D    00   Failure
3C    00   Failure
4B    00   Failure
5A    00   Failure
69    00   Failure
78    00   Failure
87    00   Failure
96    00   Failure
A5    00   Failure
B4    00   Failure
C3    00   Failure
D2    00   Failure
E1    00   Failure
